DEL komplett	DEL Schnittmenge	id0	url0	label0	label@fr0	label@de0	id1	url1	label1	label@fr1	label@de1	id2	url2	label2	label@fr2	label@de2	id3	url3	label3	label@fr3	label@de3	id4	url4	label4	label@fr4	label@de4
Archéologie	archéologie	Q30024668	https://www.wikidata.org/wiki/Q30024668	Archéologie	Archéologie	Archéologie	Q30765655	https://www.wikidata.org/wiki/Q30765655	Archéologie Médiévale	Archéologie médiévale		Q23498	https://www.wikidata.org/wiki/Q23498	archaeology	archéologie	Archäologie	Q96703484	https://www.wikidata.org/wiki/Q96703484	Archéologie du Midi médiéval	Archéologie du Midi médiéval. Supplément		Q1671076	https://www.wikidata.org/wiki/Q1671076	medieval archaeology	archéologie médiévale	Mittelalterarchäologie
Architecture		Q12271	https://www.wikidata.org/wiki/Q12271	architecture	architecture	Architektur	Q176483	https://www.wikidata.org/wiki/Q176483	Gothic architecture	architecture gothique	gotische Architektur	Q245188	https://www.wikidata.org/wiki/Q245188	Modern Movement	Mouvement moderne	Moderne	Q46261	https://www.wikidata.org/wiki/Q46261	Romanesque architecture	architecture romane	romanische Architektur	Q236122	https://www.wikidata.org/wiki/Q236122	Renaissance architecture	architecture de la Renaissance	Architektur der Renaissance
"Armée "		Q1076619	https://www.wikidata.org/wiki/Q1076619	French Army	Armée de terre française	Französisches Heer	Q504721	https://www.wikidata.org/wiki/Q504721	Grande Armée	Grande Armée	Grande Armée	Q25436	https://www.wikidata.org/wiki/Q25436	Canadian Army	Armée canadienne	Canadian Army	Q439052	https://www.wikidata.org/wiki/Q439052	Sander Armée	Sander Armée	Sander Armée	Q28864102	https://www.wikidata.org/wiki/Q28864102	Armée	Armée	
"Artiste "	artiste	Q483501	https://www.wikidata.org/wiki/Q483501	artist	artiste	Künstler	Q3401618	https://www.wikidata.org/wiki/Q3401618	Premier Artiste	Premier Artiste		Q24679854	https://www.wikidata.org/wiki/Q24679854	Artiste Point			P2268	https://www.wikidata.org/wiki/P2268	Musée d'Orsay artist ID	identifiant Musée d'Orsay d'un artiste	Musée-d'Orsay-Künstlerkennung	Q28734811	https://www.wikidata.org/wiki/Q28734811			
"Astronomie "		Q333	https://www.wikidata.org/wiki/Q333	astronomy	astronomie	Astronomie	Q76287	https://www.wikidata.org/wiki/Q76287	declination	déclinaison	Deklination	Q751840	https://www.wikidata.org/wiki/Q751840	Astronomie heute	Astronomie heute	Astronomie heute	Q2868598	https://www.wikidata.org/wiki/Q2868598	Astronomie populaire	Astronomie populaire	Astronomie populaire	Q30078785	https://www.wikidata.org/wiki/Q30078785	Encyklopédia astronómie		Encyklopédia astronómie
"Atelier "	atelier	Q2072285	https://www.wikidata.org/wiki/Q2072285	atelier	atelier d'artiste	Atelier	Q857825	https://www.wikidata.org/wiki/Q857825	Atelier	Atelier	Atelier	Q84598697	https://www.wikidata.org/wiki/Q84598697	Atelier	Atelier	Atelier	Q21692491	https://www.wikidata.org/wiki/Q21692491	Atelier	Atelier (série)	Atelier	Q530112	https://www.wikidata.org/wiki/Q530112	Atelier	Atelier	Atelier
"Athéisme "		Q7066	https://www.wikidata.org/wiki/Q7066	atheism	athéisme	Atheismus	Q3347105	https://www.wikidata.org/wiki/Q3347105	New Atheism	Nouvel athéisme	Neuer Atheismus	Q4813321	https://www.wikidata.org/wiki/Q4813321	Atheism in Hinduism	athéisme dans la philosophie hindoue		Q864936	https://www.wikidata.org/wiki/Q864936	state atheism	athéisme d'État		Q3154572	https://www.wikidata.org/wiki/Q3154572	Irreligion in France	Irréligion en France	
Attraction	attraction	Q1144661	https://www.wikidata.org/wiki/Q1144661	amusement ride	attraction	Fahrgeschäft	Q570116	https://www.wikidata.org/wiki/Q570116	tourist attraction	attraction touristique	Sehenswürdigkeit	Q316	https://www.wikidata.org/wiki/Q316	love	amour	Liebe	Q744128	https://www.wikidata.org/wiki/Q744128	Attraction	Attraction	Attraction	Q2800000	https://www.wikidata.org/wiki/Q2800000	attraction		Attraktion
"Autobiographie "		Q16835918	https://www.wikidata.org/wiki/Q16835918	Autobiographie	Autobiographie	Autobiographie	Q15977144	https://www.wikidata.org/wiki/Q15977144	Spiritual Autobiography	Autobiographie spirituelle	Autobiographie spirituelle	Q4184	https://www.wikidata.org/wiki/Q4184	autobiography	autobiographie	Autobiografie	Q19889137	https://www.wikidata.org/wiki/Q19889137	An t-Oileánach	An t-Oileánach	An t-Oileánach	Q10981315	https://www.wikidata.org/wiki/Q10981315	The Islandman		The Islandman
"Automate "		Q4480274	https://www.wikidata.org/wiki/Q4480274	Automate	Automate	Automate	Q787117	https://www.wikidata.org/wiki/Q787117	Automate	Automate	Automate	Q787120	https://www.wikidata.org/wiki/Q787120	Automate		Automate	Q4826394	https://www.wikidata.org/wiki/Q4826394	Automate	Automate	Automate	Q4486389	https://www.wikidata.org/wiki/Q4486389	Automate kingsleyi	Automate kingsleyi	Automate kingsleyi
